aoi,std_aoi,total_latency,std_total_latency,number_of_requests_to_provider,hit_rate
283.593208585631,44.58815176774283,1337.9929191797346,744.8030191630659,1658,0.7955367913148371
178.17937386437876,21.00995971346783,1352.9679479768786,2032.6994906213638,1038,0.7967244701348748
270.18603838708833,140.930579868337,1234.8893051118212,709.0648425608139,1252,0.7963258785942492
324.3103325320493,47.14080546519582,1273.7490672782874,717.881380627586,1308,0.8203363914373089
427.7007471056422,194.30995975210914,1299.54982421875,766.1366106995041,1024,0.7919921875
88.71148230052228,16.77172693926515,1193.7394876223373,585.3156315685029,1737,0.816350028785262
147.322200111454,17.936663501406173,1160.448981277533,619.7809107589273,1816,0.8094713656387665
172.5621915442352,33.72951847976953,1077.8220835380835,572.1312940126393,2035,0.8171990171990172
209.43295207641907,54.78690956639795,1289.1551492537315,703.4720963370954,1072,0.7975746268656716
249.78377682917005,20.67388405451853,1448.494081796311,5265.174886574018,1247,0.8107457898957497
290.0915801214311,35.58349156264522,1212.1103273137699,699.6839321174116,886,0.8137697516930023
157.7294707014571,20.49032241840872,1158.256310043668,572.394505361094,916,0.8307860262008734
314.04685132189377,13.330199497726905,1686.930708108108,1550.4281383031146,1850,0.8037837837837838
73.13867359214682,168.30829202364197,1150.4540040650406,578.6347223614421,984,0.818089430894309
189.3624622592658,36.13143966926877,1175.723419726422,845.8508227604025,1389,0.8243340532757379
171.08892366453975,154.56854883625178,1150.0623489477257,595.3782370196491,1473,0.824847250509165
275.5248735971295,206.6854315828299,1286.8026820208024,966.721531581771,1346,0.8008915304606241
227.33657416843417,12.745012973037074,1215.3053690398433,677.8228723711345,1531,0.8027433050293925
337.63966056263934,37.478644108435894,1624.6302944711538,884.4632974179699,1664,0.8125
243.55376533540885,31.644943509245692,1187.7872801082544,2323.623605993603,1478,0.8207036535859269
85.25966272177264,14.193965077474141,1474.3923410404625,6105.639469397929,1038,0.8217726396917149
303.13921252784564,15.842934697551046,1200.4422588522589,648.2662681663286,1638,0.8028083028083028
358.09983284273056,37.715081552261175,1782.700067739204,919.164390970334,2362,0.79424216765453
262.93331248799024,42.411329675442985,1153.7803479196557,578.6885668630397,2788,0.8106169296987088
429.7607427534548,213.60254311451567,1470.775650485437,1750.449635244503,1030,0.8058252427184466
383.5343248322106,107.58509297914178,1239.6449244966443,1006.112524242247,1192,0.8112416107382551
172.92703772141883,15.84026963797193,1333.0434420289855,712.8608829381218,1104,0.7980072463768116
206.08887130350269,42.24780686713965,1143.9009251101322,609.1674898053469,908,0.7929515418502202
134.66888052209657,50.34265824739749,1139.331650821089,578.4442529416294,1157,0.8072601555747623
254.4863363244497,1284.970497796813,1230.0084079283888,1751.6330230675212,1564,0.8088235294117647
42.15512780596439,7.207844149992805,1123.0243082706768,556.0342729423623,1330,0.824812030075188
243.1041776961852,21.121979170846746,1129.3697705544932,570.9912314711854,1046,0.8135755258126195
16.447668282672613,16.214463795640782,1161.341069023569,1358.8325505603927,1188,0.8122895622895623
78.01803745900976,30.904442703075258,1237.2773392461197,637.5801955909411,902,0.8059866962305987
166.93412081321765,48.638114404529816,1180.413275862069,554.5186155591305,1450,0.8255172413793104
161.96890952869816,20.090090105582682,1174.5013870246084,628.667691531249,894,0.8120805369127517
204.04452346758157,30.459548617241676,1223.1196887159533,623.6943755375829,1028,0.8229571984435797
384.54323270824733,41.27164411821,1252.0162034609334,2368.472802798521,1907,0.8065023597273204
362.14326361769724,47.05231498807083,1143.540419047619,625.7970984699798,1575,0.7980952380952381
157.01369596407062,49.34187134449895,1208.406862891207,591.2195028642989,1342,0.8077496274217586
116.58385023079198,63.40738303871829,1110.0454963427378,563.1292372035027,957,0.7910135841170324
1933.252919104206,1996.7719973283952,1826.833358556461,2648.978780394158,1718,0.7945285215366705
322.7974350366882,29.335554670164033,1130.665637837838,638.1794112071002,1850,0.8010810810810811
178.2343170303701,22.10731521616437,1293.9460792639773,736.6145425070816,1413,0.8039631988676574
211.26020396465137,17.468541267763516,1264.3292336035372,4072.3460770217334,4071,0.8005404077622206
159.10051518450496,53.64333166509851,1454.0958833922261,761.9140629733679,1698,0.8044758539458187
441.99259980586874,171.60107191449765,1311.45855788761,803.808604897207,1477,0.8185511171293162
97.40574028210841,10.670648834037213,1304.1708592321754,688.2266410709291,1094,0.8135283363802559
450.1817482170069,218.81732277172688,1331.9724797843667,809.8852882700241,1484,0.7964959568733153
258.3701758797889,49.1486717332465,1201.471256830601,615.9033271675006,1281,0.825136612021858
